0.0381	293.15	0.1261	27051.0338	202.9
0.0895	293.15	0.2222	29410.8332	220.6
0.1472	293.15	0.2798	30704.0566	230.3
0.1781	293.15	0.3025	31210.6802	234.1
0.2138	293.15	0.3175	31237.3446	234.3
0.2311	293.15	0.3278	31717.3038	237.9
0.2691	293.15	0.3436	31903.9546	239.3
0.3391	293.15	0.3638	31690.6394	237.7
0.4675	293.15	0.3908	31837.2936	238.8
0.5965	293.15	0.4173	31597.314	237
0.6457	293.15	0.4263	30984.0328	232.4
0.6981	293.15	0.4405	30970.7006	232.3
0.7437	293.15	0.4579	30224.0974	226.7
0.9087	293.15	0.6034	24957.8784	187.2
1	293.15	1	15945.3112	119.6
0	293.15	0	24197.943	181.5
0.0232	268.15	0.11	7786.0048	58.4
0.0663	268.15	0.2262	8651.26458	64.89
0.1465	268.15	0.3149 	9448.53014	70.87
0.275	268.15	0.3611 	9727.17312	72.96
0.3961	268.15	0.3839	9767.16972	73.26
0.477	268.15	0.3943	9800.50022	73.51
0.5431	268.15	0.4012	9708.50804	72.82
0.5828	268.15	0.4065	9664.51178	72.49
0.6598	268.15	0.4173	9545.8552	71.6
0.7382	268.15	0.4312	9371.20338	70.29
0.9161	268.15	0.5628	7772.6726	58.3
1	268.15	1.0000	4551.61308	34.14
0	268.15	0	7016.73686	52.63
